'Qual é a sigla para Central Process Unit?',
    'Um circuto digital que realiza operações lógicas e aritméticas. Qual é o nome deste componente?',
    'Tipo de memória que se encontra no topo da hierarquia de memória',
    'Tipo de memória volátil que tem como nome Random Acess Memory. Qual é a sigla deste componente?',
    'Tipo de memória não volátil que oferece dados apenas para leitura',
    'Tipo de memória não volátil que precisa ter seu chip exposto a luz ultravioleta para apagar seu conteúdo',
    'Tipo particular de EEPROM que mantém as informações armazenadas sem a necessidade de uma fonte de energia elétrica',
    'Tipo de memória que precisa ter seu conteúdo copiado na RAM para poder ser executado pela CPU',
    'Permite que periféricos acessem diretamente a RAM sem ocupar processamento',
    'Também conhecido como Slave Select (SS). Usado para selecionar um ou um conjunto de circuitos que estão conectados no computador',
    'Grupo de linhas ou trilhas usadas para se referir a um endereço físico na memória. O número de trilhas determina a quantidade de endereços na memória física',
    'Também chamado de Memory Bus. É responsável para carregar os dados.',
    'Modelo de processador desenvolvido pela Intel qu teve sua primeira versão lançada em setembro de 2009',
    'Modelo de processador desenvolvido pela Intel qu teve sua primeira versão lançada em novembro de 2008',    
    'Tipo de processador que possui dois processadores ou melhor dizendo ‘dois centros, núcleos ou cores de execução‘ no mesmo circuito integrado.  Cada core tem sua própria memória cash e controlador o que permite que funcione mais efetivamente do que um processador single',
    'Segue o mesmo princípio de um dual-core, mas agora em teoria tem o dobro da capacidade de processamento'
